master_key,wt_name,wt_image,rw_name,rw_image_name,nation,wt_display_name_new,clean_key,stats_role,stats_rank,stats_br_rb,stats_max_speed,stats_climb,wiki_nation,wiki_friendly_name
a_10a_early,A 10A Early,a_10a_early.png,A 10A Early,RW_a_10a_early_rw.png,USA,A-10A,a10a,Strike aircraft,VI,10.3,at 0 m 676 km/h,25.5 m/s,USA,A-10A
a_10a_late,A 10A Late,a_10a_late.png,A-10AÂ Late,RW_a_10a_late_rw.png,USA,A-10A Late,a10a,Strike aircraft,VI,10.3,at 0 m 676 km/h,25.5 m/s,USA,A-10A Late
a_10c,A 10C,a_10c.png,A-10C,RW_a_10c_rw.png,USA,A-10C,a10c,Strike aircraft,VII,11.7,at 0 m 676 km/h,25.5 m/s,USA,A-10C
a_1h,A-1H,douglas_a_1h.png,A-1H,RW_a_1h.png,,A-1H,a1h,Strike aircraft,IV,6.3,"at 5,821 m 587542618561 km/h",15.511.720.611.7 m/s,USA,A-1H
a_20g,A-20G,a-20g.png,A-20G,RW_a_20g_rw.png,USA,A-20G-25,a20g,Strike aircraft,II,2.7,"at 3,048 m 510475535492 km/h",10.17.712.77.7 m/s,USA,A-20G-25
a_20g_30_ussr,A 20G 30 Ussr,a_20g_30_ussr.png,A 20G 30 Ussr,RW_a_20g_30_ussr_rw.png,USSR,A-20G-30,a20g30,Bomber,III,3.7,"at 3,048 m 510475535492 km/h",10.17.712.77.7 m/s,USSR,▂A-20G-30
a_26b,A-26B,a-26b.png,A-26B,RW_a_26b_rw.png,USA,B-26B,a26b,Strike aircraft,IV,5.3,"at 4,573 m 569521606539 km/h",11.47.816.47.8 m/s,USA,A-26B-50
a_26b_10,A-26B 10,a-26b_10.png,A-26B-10,RW_a_26b_10_rw.png,USA,A-26B-10,a26b10,Strike aircraft,IV,5,"at 4,573 m 576 km/h",12 m/s,USA,A-26B-10
a_26c,A-26C,a-26c.png,A-26C,RW_a_26c_rw.png,France,A-26C,a26c,Bomber,IV,5.3,"at 4,573 m 569 km/h",11.4 m/s,USA,A-26C-45
a_26c_45_dt,A-26C-45-Dt,a-26c-45-dt.png,A-26C-45-Dt,RW_a_26c_45_dt_rw.png,USA,A-26C-45,a26c45dt,Bomber,IV,5.3,"at 4,573 m 569 km/h",11.4 m/s,USA,A-26C-45DT
a_29,A-29,a_29_hudson.png,A-29,RW_a_29.png,,A-29,a29,Light bomber,II,2,"at 1,981 m 410377433393 km/h",9.56.613.26.6 m/s,China,A-29
a_29_hudson,A 29 Hudson,a_29_hudson.png,A 29 Hudson,RW_a_29_hudson_rw.png,Great Britain,A 29 Hudson,a29hudson,Light bomber,II,2,"at 1,981 m 410377433393 km/h",9.56.613.26.6 m/s,China,A-29
a_35b,A-35B,a-35b.png,A-35B,RW_a_35b_rw.png,France,A-35B,a35b,Bomber,II,2.7,"at 3,650 m 485 km/h",7.5 m/s,France,▄A-35B
a_4b,A 4B,a_4b.png,A-4B,RW_a_4b_rw.png,USA,A-4B,a4b,Strike aircraft,VI,8.7,"at 0 m 1,065 km/h",42 m/s,USA,A-4B
a_4e,A-4E,a_4e_late_iaf.png,A-4E,RW_a_4e.png,,A-4E,a4e,Strike aircraft,VI,8.7,"at 0 m 1,081 km/h",40 m/s,USA,A-4E Early
a_4e_early,A 4E Early,a_4e_early.png,A-4EÂ Early,RW_a_4e_early_rw.png,USA,A-4E Early (M),a4e,Strike aircraft,VI,8.7,"at 0 m 1,081 km/h",40 m/s,USA,A-4E Early
